origin_port,origin_lat,origin_lon,dest_port,dest_lat,dest_lon,distance_nm,distance_status,speed_kn_assumed,speed_status,voyage_time_hours,voyage_time_status,cargo_tonnage,notes
Yohohama,35.45059,139.6474, Rotterdam,51.94974,4.14522,5063.89,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",287.67,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Hamburg,53.51144,9.97028,4861.24,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",276.16,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Busan,25.10441,129.04254,723.61,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",41.11,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Shanghai,30.63495,122.08602,791.47,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",44.96,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Hong Kong,22.30315,114.17131,1415.4,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",80.41,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Guangzhou,23.06615,113.52254,1416.7,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",80.48,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Singapore,1.29596,103.77475,2744.28,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",155.9,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Suez Canal,31.20803,32.33719,4982.78,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",283.07,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Antwerp,51.33325,4.39964,5047.16,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",286.72,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Plymouth,50.3649,-4.15904,5277.38,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",299.8,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, London,51.58018,0.54659,5119.78,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",290.85,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Rotterdam,51.94974,4.14522,5023.45,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",285.38,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Nagoya,35.08033,136.88011, Hamburg,53.51144,9.97028,4816.65,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",273.63,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Shanghai,30.63495,122.08602,496.35,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",28.2,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Hong Kong,22.30315,114.17131,834.18,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",47.39,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Guangzhou,23.06615,113.52254,858.96,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",48.8,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Singapore,1.29596,103.77475,2046.02,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",116.23,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Suez Canal,31.20803,32.33719,4957.25,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",281.62,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Antwerp,51.33325,4.39964,5370.45,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",305.09,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Plymouth,50.3649,-4.15904,5640.14,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",320.41,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, London,51.58018,0.54659,5465.1,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",310.47,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Rotterdam,51.94974,4.14522,5352.77,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",304.09,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Busan,25.10441,129.04254, Hamburg,53.51144,9.97028,5130.07,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",291.43,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Hong Kong,22.30315,114.17131,656.19,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",37.28,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Guangzhou,23.06615,113.52254,645.23,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",36.65,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Singapore,1.29596,103.77475,2046.66,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",116.27,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Suez Canal,31.20803,32.33719,4472.96,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",254.1,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Antwerp,51.33325,4.39964,4892.34,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",277.93,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Plymouth,50.3649,-4.15904,5169.83,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",293.69,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, London,51.58018,0.54659,4991.41,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",283.56,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Rotterdam,51.94974,4.14522,4876.02,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",277.0,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Shanghai,30.63495,122.08602, Hamburg,53.51144,9.97028,4651.0,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",264.22,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Guangzhou,23.06615,113.52254,58.23,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",3.31,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Singapore,1.29596,103.77475,1399.78,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",79.52,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Suez Canal,31.20803,32.33719,4322.85,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",245.58,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Antwerp,51.33325,4.39964,5056.37,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",287.25,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Plymouth,50.3649,-4.15904,5361.69,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",304.59,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, London,51.58018,0.54659,5173.21,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",293.88,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Rotterdam,51.94974,4.14522,5046.71,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",286.7,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Hong Kong,22.30315,114.17131, Hamburg,53.51144,9.97028,4815.48,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",273.56,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Guangzhou,23.06615,113.52254, Singapore,1.29596,103.77475,1425.21,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",80.96,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Guangzhou,23.06615,113.52254, Suez Canal,31.20803,32.33719,4270.07,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",242.58,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Guangzhou,23.06615,113.52254, Antwerp,51.33325,4.39964,4998.18,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",283.94,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Guangzhou,23.06615,113.52254, Plymouth,50.3649,-4.15904,5303.59,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",301.29,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
 Guangzhou,23.06615,113.52254, London,51.58018,0.54659,5115.08,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",290.58,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
