schema_table,key,detail,note
ais_required_fields.csv,longitude,required_for_prototype=yes; Trajectory,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,sog,required_for_prototype=yes; Operational speed,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,cog,required_for_prototype=yes; Course,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,heading,required_for_prototype=yes; Heading,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,vessel_type,required_for_prototype=yes; Vessel class filtering,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,length,required_for_prototype=yes; Vessel size,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,width,required_for_prototype=yes; Vessel size,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,draft,required_for_prototype=yes; Draft/port-depth feasibility,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,cargo,required_for_prototype=optional; Cargo class; not cargo quantity,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,status,required_for_prototype=yes; Filter underway vs anchored/moored/etc.,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,transceiver,required_for_prototype=optional; Data-quality/source classification,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,call_sign,required_for_prototype=optional; Identity cross-check,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,0,Not Available,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,20,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,30,Fishing,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,31,Tug Tow,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,32,Tug Tow,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,33,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,34,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,35,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,36,Pleasure Craft/Sailing,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,37,Pleasure Craft/Sailing,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,40,Passenger,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,50,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,51,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,52,Tug Tow,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,53,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,54,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,55,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,58,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,59,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,60,Passenger,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,70,Cargo,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,80,Tanker,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_vessel_type_lookup.csv,90,Other,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
