column,dtype,n_missing,pct_missing,n_unique,min,max,mean
Consumer_GeneratorEngine2_FuelType_RM 180,int64,0,0.0,2,0.0,1.0,0.006848665363965775
Consumer_GeneratorEngine2_FuelType_RM 380,int64,0,0.0,2,0.0,1.0,0.6395249568401282
Consumer_GeneratorEngine3_FuelType_DM,int64,0,0.0,2,0.0,1.0,0.3500502741363283
Consumer_GeneratorEngine3_FuelType_RM 180,int64,0,0.0,2,0.0,1.0,0.012615962512568534
Consumer_GeneratorEngine3_FuelType_RM 380,int64,0,0.0,2,0.0,1.0,0.6373337633511031
Consumer_GeneratorEngine4_FuelType_DM,int64,0,0.0,2,0.0,1.0,0.3496139325757432
Consumer_GeneratorEngine4_FuelType_RM 180,int64,0,0.0,2,0.0,1.0,0.011667393902600975
Consumer_GeneratorEngine4_FuelType_RM 380,int64,0,0.0,2,0.0,1.0,0.6387186735216558
Consumer_GeneratorEngine5_FuelType_DM,int64,0,0.0,2,0.0,1.0,0.3496898180645406
Consumer_GeneratorEngine5_FuelType_RM 180,int64,0,0.0,2,0.0,1.0,0.01552806814516894
Consumer_GeneratorEngine5_FuelType_RM 380,int64,0,0.0,2,0.0,1.0,0.6347821137902905
